"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"numbers_09.numbers-slack"	".numbers-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"136"	"44"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/numbers_09.numbers-slack"
"doc_within_doc.doc"	".doc"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"38912"	"47"	"e59943bb974f79ee07c73591e6b8896e"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/doc_within_doc.doc"
"docx_within_docx.docx"	".docx"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"19105"	"50"	"2ad4b9e5c9a5dbad35f2a1507c94363c"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/docx_within_docx.docx"
"docx_within_docx.docx-slack"	".docx-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"351"	"50"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/docx_within_docx.docx-slack"
"ppt_within_doc.doc"	".doc"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"69120"	"53"	"0ac8e899b186bdb0680b00183fc6ca75"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/ppt_within_doc.doc"
"ppt_within_doc.doc-slack"	".doc-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"512"	"53"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/ppt_within_doc.doc-slack"
"pptx_within_docx.docx"	".docx"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"39027"	"56"	"ffbbbed65c2c2c6d6e934050aafd8dc4"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/pptx_within_docx.docx"
"pptx_within_docx.docx-slack"	".docx-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"909"	"56"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/pptx_within_docx.docx-slack"
"xls_within_doc.doc"	".doc"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"36352"	"59"	"cb42c11d5d0fda2cd09d5dbb2a065990"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/xls_within_doc.doc"
"xls_within_doc.doc-slack"	".doc-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"512"	"59"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/xls_within_doc.doc-slack"
"xlsx_within_docx.docx"	".docx"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"17528"	"62"	"1ffd4fdaa77aac9e013813d461cad826"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/xlsx_within_docx.docx"
"xlsx_within_docx.docx-slack"	".docx-slack"	"r"	""	"2011-02-02 00:00:00 WIB"	"2011-02-02 15:09:51 WIB"	"2011-02-02 15:09:50 WIB"	"904"	"62"	"null"	"unknown"	"rrwxrwxrwx"	"/img_nps-2010-emails.E01/vol_vol2/xlsx_within_docx.docx-slack"
